ticket_id,customer_id,ticket_text,team,case_type,created_at
TKT80016,SUB100332,"Dear support, Give me a reason to stay or I am switching My number is registered with you.",Retention,standard,2026-08-02 16:15:00
TKT80017,SUB101617,"Good morning, The eSIM QR code is not being accepted Awaiting your reply.",SIM_Activation,standard,2026-08-03 23:28:00
TKT80018,SUB101684,"Hello team, There is a charge on bill I do not recognise This is the second time I am writing.",Billing,standard,2026-08-04 05:52:00
TKT80019,SUB101705,Urgent: There is no signal at my home Pune Kindly resolve and activation is also a problem,Network,noisy,2026-08-02 09:10:00
TKT80020,SUB101238,Slow internet and my bill went up too Awaiting your reply.,Billing,ambiguous,2026-08-02 20:46:00
TKT80021,SUB101222,Urgent: I changed my plan but now the internet does not work My number is registered with you.,Network,ambiguous,2026-08-04 21:19:00
TKT80022,SUB103193,"Hello team, The refund for my duplicate payment has not arrived This is the second time I am writing.",Plan_Change,reassigned,2026-08-05 14:59:00
TKT80023,SUB101164,Urgent: My invoice is higher than usual this month Thanks.,Billing,standard,2026-08-04 19:58:00
TKT80024,SUB100595,Please help. The connection keeps disconnecting every few minutes Please respond quickly.,Network,standard,2026-08-04 03:35:00
TKT80025,SUB101404,"Dear support, Please switch my account from prepaid to postpaid Kindly resolve.",Plan_Change,standard,2026-08-05 18:39:00
TKT80026,SUB101908,"Dear support, I inserted the new SIM but there no service Thanks.",SIM_Activation,standard,2026-08-05 06:19:00
TKT80027,SUB102896,"Dear support, Can I add an international pack to my plan Kindly resolve.",Plan_Change,standard,2026-08-01 13:32:00
TKT80028,SUB102439,"Dear support, I was billed twice for the same recharge My number is registered with you.",Billing,standard,2026-08-03 02:04:00
TKT80029,SUB101733,"Dear support, Can I add an international pack to my plan Please respond quickly.",Plan_Change,standard,2026-08-03 17:50:00
TKT80030,SUB101399,Urgent: The connection keeps disconnecting every few minutes Awaiting your reply.,Network,standard,2026-08-02 13:05:00
TKT80031,SUB101087,Please help. Port-in is stuck and I am being billed for both numbers Please respond quickly.,SIM_Activation,ambiguous,2026-08-02 00:06:00
TKT80032,SUB102098,"Hello team, My replacement SIM has not started working Thanks.",Network,reassigned,2026-08-05 20:32:00
TKT80033,SUB102959,"Hi, I want to upgrade to a larger data plan Kindly resolve.",Plan_Change,standard,2026-08-03 01:04:00
TKT80034,SUB102699,"Good morning, I am porting out unless you can offer something better",Retention,standard,2026-08-02 12:03:00
TKT80035,SUB100632,"Hello team, Activation OTP is not arriving on my phone Please respond quickly.",Network,reassigned,2026-08-02 20:55:00
TKT80036,SUB100432,Please help. Calls keep dropping the Kolkata area Please respond quickly.,Network,standard,2026-08-04 06:59:00
TKT80037,SUB100276,"Hello team, Cancel my postpaid connection immediately Awaiting your reply.",Retention,standard,2026-08-03 18:43:00
TKT80038,SUB101610,"Good morning, My new plan shows the wrong price on my bill Awaiting your reply.",Billing,ambiguous,2026-08-04 00:11:00
TKT80039,SUB101271,"Good morning, Give me a reason to stay or I am switching Kindly resolve.",Retention,standard,2026-08-01 12:17:00
TKT80040,SUB100749,"Dear support, Internet speed has dropped badly this week My number is registered with you.",Network,standard,2026-08-05 06:36:00
TKT80041,SUB101240,"Hello team, Give me a reason to stay or I am switching",Retention,standard,2026-08-03 14:32:00
TKT80042,SUB100536,Please help. Please switch my account from prepaid to postpaid Please respond quickly.,Billing,reassigned,2026-08-03 02:50:00
TKT80043,SUB102538,"Dear support, What plans do you have with more data Please respond quickly.",Billing,reassigned,2026-08-05 07:28:00
TKT80044,SUB100823,"Hello team, Please explain the extra amount on my invoice My number is registered with you and my new SIM is also a problem",Billing,noisy,2026-08-05 04:41:00
TKT80045,SUB100069,Urgent: Port-in request is still showing as pending Awaiting your reply.,SIM_Activation,standard,2026-08-02 22:43:00
TKT80046,SUB101916,Urgent: The refund for my duplicate payment has not arrived Kindly resolve.,Billing,standard,2026-08-05 03:14:00
TKT80047,SUB101246,"Good morning, I want to cancel my connection at the end of the month My number is registered with you.",Retention,standard,2026-08-01 14:45:00
TKT80048,SUB101230,Urgent: I am porting out unless you can offer something better Kindly resolve.,Billing,reassigned,2026-08-05 12:36:00
TKT80049,SUB100568,Please help. I would like to downgrade my monthly pack Kindly resolve.,Plan_Change,standard,2026-08-05 14:14:00
TKT80050,SUB102222,"Hello team, The offer charged me but my SIM is not active Thanks.",SIM_Activation,ambiguous,2026-08-01 23:03:00
TKT80051,SUB100944,"Dear support, Activation OTP is not arriving on my phone My number is registered with you.",SIM_Activation,standard,2026-08-05 18:19:00
TKT80052,SUB101039,"Dear support, Please switch my account from prepaid to postpaid This is the second time I am writing.",Billing,reassigned,2026-08-04 02:59:00
TKT80053,SUB102975,Please help. The eSIM QR code is not being accepted Awaiting your reply.,SIM_Activation,standard,2026-08-04 15:30:00
TKT80054,SUB101021,"Hi, My bill shows roaming charges I never used Awaiting your reply.",Billing,standard,2026-08-03 00:26:00
TKT80055,SUB101868,"Hello team, connection keeps disconnecting every few minutes My number is registered with you.",Network,standard,2026-08-02 08:18:00
TKT80056,SUB100758,My replacement SIM has not started working Awaiting your reply.,SIM_Activation,standard,2026-08-05 17:51:00
TKT80057,SUB100446,I would like to downgrade my monthly pack Awaiting your reply.,Plan_Change,standard,2026-08-03 02:58:00
TKT80058,SUB101810,"Dear support, My new SIM is not activating, please help Awaiting your reply.",SIM_Activation,standard,2026-08-02 05:48:00
TKT80059,SUB101179,"Dear support, Activation OTP not arriving on my phone My number is registered with you.",SIM_Activation,standard,2026-08-01 00:32:00
TKT80060,SUB102992,"Please close account, I am moving to another operator My number is registered with you.",Retention,standard,2026-08-01 15:53:00
TKT80061,SUB100431,Calls keep dropping in the Chennai area,Network,standard,2026-08-03 15:09:00
TKT80062,SUB102937,The refund for my duplicate payment has not arrived This is the second time I am writing.,Billing,standard,2026-08-01 17:36:00
TKT80063,SUB101312,"Dear support, My bill shows roaming charges I never used Kindly resolve.",Plan_Change,reassigned,2026-08-04 04:55:00
TKT80064,SUB100129,"Hi, My bill shows roaming charges I never used This is the second time I am writing.",Billing,standard,2026-08-01 14:18:00
TKT80065,SUB100829,Please help. There is no signal at my home in Bengaluru Kindly resolve.,Network,standard,2026-08-02 06:16:00
TKT80066,SUB103103,"Hello team, I want to cancel because the signal in Pune is terrible Please respond quickly.",Retention,ambiguous,2026-08-05 16:28:00
TKT80067,SUB102626,"My new SIM is not activating, please help This is the second time I am writing.",SIM_Activation,standard,2026-08-04 06:17:00
TKT80068,SUB102397,"Dear support, Cancel my postpaid connection immediately My number is registered with you.",Retention,standard,2026-08-01 09:00:00
TKT80069,SUB101913,Please help. The eSIM QR code is not being accepted Please respond quickly.,Network,reassigned,2026-08-05 09:43:00
TKT80070,SUB100669,"Dear support, I would like to downgrade my monthly pack My number is registered with you.",Plan_Change,standard,2026-08-04 01:46:00
TKT80071,SUB100532,"Dear support, 4G is not working since yesterday morning Thanks.",Network,standard,2026-08-02 16:42:00
TKT80072,SUB101125,"Hi, Calls keep dropping in the Mumbai area Kindly resolve.",Network,standard,2026-08-02 19:07:00
TKT80073,SUB101738,"Good morning, There is no signal at my home in Hyderabad Please respond quickly.",Network,standard,2026-08-04 20:38:00
TKT80074,SUB100466,"Dear support, I would like to downgrade my monthly pack Awaiting your reply.",Plan_Change,standard,2026-08-04 18:41:00
TKT80075,SUB101553,"Hello team, Please explain the extra amount on my invoice My number is registered with you.",Billing,standard,2026-08-02 14:21:00
TKT80076,SUB103102,"Hi, Activation OTP is not arriving on my phone This is the second time I am writing.",SIM_Activation,standard,2026-08-01 20:16:00
TKT80077,SUB100645,Please help. I was billed twice for the same recharge,Billing,standard,2026-08-04 14:40:00
TKT80078,SUB100818,"Please help. Please close my account, I am moving to another operator Awaiting your reply.",Retention,standard,2026-08-03 04:57:00
TKT80079,SUB102844,"Hello team, I want to upgrade to a larger data plan My number is registered with you.",Plan_Change,standard,2026-08-04 21:36:00
TKT80080,SUB101524,"Hello team, I want to upgrade to a larger data plan Awaiting your reply.",Plan_Change,standard,2026-08-01 19:31:00
TKT80081,SUB100388,Urgent: Internet speed has dropped badly this week Awaiting your reply.,Network,standard,2026-08-03 21:38:00
TKT80082,SUB103061,"Dear support, My replacement SIM has not started working Kindly resolve.",SIM_Activation,standard,2026-08-05 16:28:00
TKT80083,SUB100845,"Hello team, Calls keep dropping in the Noida area My number is registered with you.",Network,standard,2026-08-05 09:23:00
TKT80084,SUB101330,"Dear support, 4G is not working since yesterday morning This is the second time I am writing.",SIM_Activation,reassigned,2026-08-04 10:47:00
TKT80085,SUB101066,Please help. The connection keeps disconnecting every few minutes This is second time I am writing.,Network,standard,2026-08-02 18:43:00
TKT80086,SUB102990,"Dear support, There is no signal at my home in Chennai Please respond quickly.",Network,standard,2026-08-02 07:13:00
TKT80087,SUB102166,"Hi, I want to upgrade to a larger data plan",Billing,reassigned,2026-08-04 19:54:00
TKT80088,SUB102374,"Dear support, What plans do you have with more data My number is registered with you.",Billing,reassigned,2026-08-04 06:09:00
TKT80089,SUB101642,"Dear support, There is a charge on my bill I do not recognise Kindly resolve.",Billing,standard,2026-08-01 05:27:00
TKT80090,SUB100363,Urgent: Activation OTP is not arriving on my phone,SIM_Activation,standard,2026-08-01 05:09:00
TKT80091,SUB103145,Please explain the extra amount on my invoice My number is registered with you.,Billing,standard,2026-08-03 18:01:00
TKT80092,SUB101631,Please switch my account from prepaid to postpaid My number is registered with you and the network is also a problem,Plan_Change,noisy,2026-08-04 11:28:00
TKT80093,SUB100587,Please help. What plans do you have with more data,Plan_Change,standard,2026-08-03 21:04:00
TKT80094,SUB101974,Urgent: 4G is not working since yesterday morning Awaiting your reply.,Network,standard,2026-08-05 00:27:00
TKT80095,SUB100532,"Hi, I am porting out unless you can offer something better Awaiting your reply.",Retention,standard,2026-08-04 08:29:00
TKT80096,SUB101081,Please help. Activation OTP is not arriving on my phone Kindly resolve.,SIM_Activation,standard,2026-08-01 01:01:00
TKT80097,SUB100223,"Good morning, Very poor coverage inside my office building This is second time I am writing.",Network,standard,2026-08-05 17:25:00
TKT80098,SUB101229,"Hello team, Give me a reason to stay or I am switching Kindly resolve.",Retention,standard,2026-08-01 18:40:00
TKT80099,SUB102286,"Dear support, 4G is not working since yesterday morning Thanks and my plan is also a problem",Network,noisy,2026-08-02 05:35:00
TKT80100,SUB101899,Please help. 4G is not working since yesterday morning Please respond quickly and my plan is also a problem,Network,noisy,2026-08-05 04:02:00
TKT80101,SUB102934,"Good morning, I want to upgrade to a larger data plan number is registered with you.",Plan_Change,standard,2026-08-03 16:42:00
TKT80102,SUB101069,I would like to downgrade my monthly pack Please respond quickly.,Plan_Change,standard,2026-08-05 23:26:00
TKT80103,SUB102506,"Hi, I am porting out unless you can offer something better Kindly resolve.",Retention,standard,2026-08-02 23:17:00
TKT80104,SUB101499,4G is not working since yesterday morning Please respond quickly.,Network,standard,2026-08-01 22:12:00
TKT80105,SUB101391,Urgent: Please switch my account from prepaid to postpaid Awaiting your reply.,Billing,reassigned,2026-08-02 13:30:00
TKT80106,SUB102674,Please help. There is a charge on my bill I do not recognise,Billing,standard,2026-08-04 02:09:00
TKT80107,SUB101624,Please help. The eSIM QR code is not being accepted Awaiting your reply and the signal is also a problem,SIM_Activation,noisy,2026-08-04 00:33:00
TKT80108,SUB101658,"Hello team, My bill shows roaming charges I never used This is the second time I am writing.",Billing,standard,2026-08-02 05:07:00
TKT80109,SUB101884,"Good morning, My replacement SIM has not started working Awaiting your reply.",SIM_Activation,standard,2026-08-02 08:48:00
TKT80110,SUB100718,"Please help. I have decided to leave, what is the disconnection process Please respond quickly.",Retention,standard,2026-08-01 22:43:00
TKT80111,SUB100672,"Please close my account, I am moving to another operator and the bill is also a problem",Retention,noisy,2026-08-01 03:20:00
TKT80112,SUB101069,"Hello team, Can I add an international pack to my plan Kindly resolve.",Plan_Change,standard,2026-08-02 02:00:00
TKT80113,SUB102681,"Hi, My bill shows roaming charges I never used Awaiting your reply and my plan is also a problem",Billing,noisy,2026-08-02 08:48:00
TKT80114,SUB101625,Please help. What plans do you have with more data Thanks.,Plan_Change,standard,2026-08-03 06:16:00
TKT80115,SUB101367,Urgent: Port-in request is still showing as pending and the charges is also a problem,SIM_Activation,noisy,2026-08-05 03:19:00
TKT80116,SUB102718,Please help. Cancel my postpaid connection immediately Please respond quickly.,Retention,standard,2026-08-04 17:24:00
TKT80117,SUB102665,"Hello team, The connection keeps disconnecting every few minutes and activation is also a problem",Network,noisy,2026-08-04 11:48:00
TKT80118,SUB102774,The eSIM QR code is not being accepted Kindly resolve.,SIM_Activation,standard,2026-08-05 20:53:00
TKT80119,SUB100676,"Hi, The refund for my duplicate payment has not arrived My number is registered with you.",Billing,standard,2026-08-01 08:59:00
TKT80120,SUB101910,Urgent: My new plan shows the wrong price on my bill Thanks.,Billing,ambiguous,2026-08-05 03:40:00
TKT80121,SUB100525,"Good morning, Please close my account, I am moving to another operator My number is registered with you.",Retention,standard,2026-08-04 19:34:00
TKT80122,SUB103142,Urgent: There is no signal at my home in Bengaluru,Network,standard,2026-08-02 09:54:00
TKT80123,SUB103148,"Hello team, My bill shows roaming charges I never used Kindly resolve.",Billing,standard,2026-08-05 18:17:00
TKT80124,SUB103045,"Good morning, My bill shows roaming charges I never used Please respond quickly.",Billing,standard,2026-08-01 01:00:00
TKT80125,SUB100720,Please help. The refund for my duplicate payment has not arrived This is the second time I am writing.,Billing,standard,2026-08-03 07:22:00
TKT80126,SUB101324,"Good morning, Give me a reason to stay or I am switching Thanks and the signal is also a problem",Retention,noisy,2026-08-04 11:15:00
TKT80127,SUB100755,Urgent: I want to cancel my connection at the end of the month Thanks.,Retention,standard,2026-08-02 12:27:00
TKT80128,SUB102799,I want cancel my connection at the end of the month Please respond quickly.,Retention,standard,2026-08-04 07:09:00
TKT80129,SUB102796,"Hello team, Activation OTP is not arriving on phone This is the second time I am writing.",SIM_Activation,standard,2026-08-02 17:33:00
TKT80130,SUB102688,"Urgent: My new SIM is not activating, please help",SIM_Activation,standard,2026-08-05 22:26:00
TKT80131,SUB101109,My replacement SIM has not started working Please respond quickly.,SIM_Activation,standard,2026-08-04 07:55:00
TKT80132,SUB101612,"Good morning, I inserted the new SIM but there is no service My number is registered with you.",SIM_Activation,standard,2026-08-03 23:51:00
TKT80133,SUB100142,There is a charge on my bill I do not recognise Kindly resolve.,Billing,standard,2026-08-05 03:49:00
TKT80134,SUB102897,"Good morning, My replacement SIM has not started working This is the second time I am writing.",Network,reassigned,2026-08-02 17:44:00
TKT80135,SUB102941,"Please help. My new SIM is not activating, please help Please respond quickly.",SIM_Activation,standard,2026-08-01 17:41:00
TKT80136,SUB102417,Please switch my account from prepaid to postpaid My number is registered with you.,Plan_Change,standard,2026-08-03 14:20:00
TKT80137,SUB101066,"Hi, I was billed twice for same recharge Please respond quickly.",Billing,standard,2026-08-03 02:57:00
TKT80138,SUB101242,Please help. There is a charge on my bill I do not recognise Kindly resolve.,Plan_Change,reassigned,2026-08-03 15:45:00
TKT80139,SUB102517,Cancel my postpaid connection immediately This is the second time I am writing.,Retention,standard,2026-08-05 05:25:00
TKT80140,SUB102114,Urgent: I would like to downgrade my monthly pack,Plan_Change,standard,2026-08-03 01:47:00
TKT80141,SUB100917,"Dear support, 4G is not working since yesterday morning This is the second time I am writing and my plan is also a problem",Network,noisy,2026-08-02 12:51:00
TKT80142,SUB100006,Please help. There is a charge on my bill I do not recognise Awaiting your reply.,Billing,standard,2026-08-03 22:08:00
TKT80143,SUB103129,"Hello team, The connection keeps disconnecting every few minutes Kindly resolve.",Network,standard,2026-08-02 04:23:00
TKT80144,SUB103050,The refund for my duplicate payment has not arrived My number is registered with you.,Plan_Change,reassigned,2026-08-02 18:31:00
TKT80145,SUB102929,Calls keep dropping in Delhi area Please respond quickly.,Network,standard,2026-08-05 11:42:00
TKT80146,SUB100690,Give me a reason to stay or I am switching Awaiting your reply.,Retention,standard,2026-08-01 10:41:00
TKT80147,SUB102355,"Dear support, Please explain the extra amount on my invoice This is the second time I am writing.",Billing,standard,2026-08-02 00:56:00
TKT80148,SUB102597,"Dear support, I want to change my plan before the next cycle Thanks.",Plan_Change,standard,2026-08-01 14:13:00
TKT80149,SUB102171,Urgent: I want to upgrade to a larger data plan Please respond quickly.,Plan_Change,standard,2026-08-02 01:13:00
TKT80150,SUB103186,Please help. 4G is not working since yesterday morning This is the second time I am writing.,Network,standard,2026-08-02 19:40:00
TKT80151,SUB101261,"Hello team, 4G is not working since yesterday morning Thanks.",Network,standard,2026-08-03 10:54:00
TKT80152,SUB100146,Urgent: The refund for my duplicate payment has not arrived My number is registered with you.,Billing,standard,2026-08-02 00:45:00
TKT80153,SUB102703,"Good morning, Please switch my account from prepaid to postpaid Please respond quickly.",Plan_Change,standard,2026-08-04 19:50:00
TKT80154,SUB102909,"Dear support, Port-in request is still showing as pending Thanks.",SIM_Activation,standard,2026-08-03 17:10:00
TKT80155,SUB100884,"Hello team, The eSIM QR code is not being accepted This is second time I am writing.",SIM_Activation,standard,2026-08-05 07:06:00
TKT80156,SUB100287,Can I add an international pack to my plan and my SIM is also a problem,Plan_Change,noisy,2026-08-03 17:54:00
TKT80157,SUB101126,"Dear support, Calls keep dropping in the Chennai area My number is registered with you.",Network,standard,2026-08-03 03:51:00
TKT80158,SUB101577,"Hi, Please close my account, I am moving to another operator Thanks.",Retention,standard,2026-08-05 21:57:00
TKT80159,SUB102426,"Hi, Give me a reason to stay or I am switching Please respond quickly.",Retention,standard,2026-08-01 15:09:00
TKT80160,SUB102703,Urgent: I want to cancel my connection at the end of month,Billing,reassigned,2026-08-04 22:47:00
TKT80161,SUB101431,"Dear support, I am porting out unless you can offer something better My number is registered with you.",Retention,standard,2026-08-02 01:24:00
TKT80162,SUB102626,What plans do you have with more data Thanks.,Plan_Change,standard,2026-08-01 03:40:00
TKT80163,SUB102479,I want to cancel my connection at the end of the month Kindly resolve.,Retention,standard,2026-08-04 13:47:00
TKT80164,SUB102661,"Good morning, The connection keeps disconnecting every few minutes Thanks.",SIM_Activation,reassigned,2026-08-04 23:30:00
TKT80165,SUB103144,"Good morning, My bill shows roaming charges I never used Please respond quickly and my plan is also a problem",Billing,noisy,2026-08-03 04:53:00
TKT80166,SUB102187,"Hi, There is a charge on my bill I do not recognise Thanks.",Billing,standard,2026-08-03 02:56:00
TKT80167,SUB102812,"Hi, I want to change my plan before the next cycle Thanks.",Plan_Change,standard,2026-08-04 06:04:00
TKT80168,SUB100095,Urgent: Give me a reason to stay or I am switching This is the second time I am writing.,Retention,standard,2026-08-05 22:25:00
TKT80169,SUB102222,Please help. Port-in request is still showing as pending This is the second time I am writing.,SIM_Activation,standard,2026-08-05 04:56:00
TKT80170,SUB102422,"Hi, 4G is not working since yesterday morning Awaiting your reply.",Network,standard,2026-08-04 12:19:00
TKT80171,SUB100244,"Good morning, I want to change my plan before the next cycle",Plan_Change,standard,2026-08-01 21:53:00
TKT80172,SUB100588,Urgent: There is no signal at my home Pune Kindly resolve.,Network,standard,2026-08-01 01:01:00
TKT80173,SUB100665,"Urgent: My new SIM is not activating, please help This is the second time I am writing.",SIM_Activation,standard,2026-08-05 22:59:00
TKT80174,SUB102339,"Dear support, Slow internet and my bill went up too My number is registered with you.",Billing,ambiguous,2026-08-01 14:53:00
TKT80175,SUB100062,I want to upgrade to a larger data plan My number is registered with you.,Billing,reassigned,2026-08-02 18:50:00
TKT80176,SUB102583,"Dear support, The offer charged me but my SIM is not active Please respond quickly.",SIM_Activation,ambiguous,2026-08-02 12:02:00
TKT80177,SUB100263,"Hi, The connection keeps disconnecting every few minutes Kindly resolve.",Network,standard,2026-08-02 18:16:00
TKT80178,SUB101608,"Dear support, Slow internet and my bill went up too Please respond quickly.",Billing,ambiguous,2026-08-05 07:40:00
TKT80179,SUB100059,"Dear support, Port-in is stuck and I am being billed for both numbers Thanks.",SIM_Activation,ambiguous,2026-08-04 06:26:00
TKT80180,SUB101491,"Good morning, Give me a reason to stay or I am switching Thanks.",Retention,standard,2026-08-05 11:54:00
TKT80181,SUB102317,"Hello team, Internet speed has dropped badly this week",Network,standard,2026-08-04 23:11:00
TKT80182,SUB103027,"Hi, I want to upgrade to a larger data plan Please respond quickly.",Plan_Change,standard,2026-08-04 16:02:00
TKT80183,SUB102616,My bill shows roaming charges I never used number is registered with you.,Billing,standard,2026-08-01 18:18:00
TKT80184,SUB102113,"Dear support, The offer charged me but my SIM is not active Please respond quickly.",SIM_Activation,ambiguous,2026-08-05 04:07:00
TKT80185,SUB101122,"Hello team, I have decided to leave, what is the disconnection process My number is registered with you.",Retention,standard,2026-08-05 07:11:00
TKT80186,SUB100765,"Dear support, Give me a reason to stay or I am switching Thanks.",Retention,standard,2026-08-04 04:45:00
TKT80187,SUB102024,Please help. I would like to downgrade my monthly pack Thanks.,Plan_Change,standard,2026-08-01 10:58:00
TKT80188,SUB100195,"Good morning, Port-in request is still showing as pending Kindly resolve.",SIM_Activation,standard,2026-08-01 00:43:00
TKT80189,SUB100534,"Good morning, Calls keep dropping in the Hyderabad area Kindly resolve.",Network,standard,2026-08-01 03:31:00
TKT80190,SUB102174,Urgent: The offer charged me but my SIM is not active Thanks.,SIM_Activation,ambiguous,2026-08-02 02:03:00
TKT80191,SUB101305,"Hi, I would like to downgrade my monthly pack Awaiting your reply.",Plan_Change,standard,2026-08-05 11:27:00
TKT80192,SUB102549,Please help. I inserted the new SIM but there is no service Kindly resolve.,SIM_Activation,standard,2026-08-02 07:06:00
TKT80193,SUB101358,"Hello team, I want to upgrade to a larger data plan Kindly resolve.",Plan_Change,standard,2026-08-02 10:40:00
TKT80194,SUB101726,"Hi, Port-in request is still showing as pending This is the second time I am writing.",SIM_Activation,standard,2026-08-02 16:07:00
TKT80195,SUB102496,"Hello team, I want to upgrade to a larger data plan Awaiting your reply.",Plan_Change,standard,2026-08-04 08:02:00
TKT80196,SUB101167,"Hi, Cancel my postpaid connection immediately Kindly resolve.",Retention,standard,2026-08-05 00:51:00
TKT80197,SUB101953,"Dear support, Calls keep dropping in the Delhi area Please respond quickly.",Network,standard,2026-08-02 18:38:00
TKT80198,SUB102472,Internet speed has dropped badly week Kindly resolve.,Network,standard,2026-08-02 00:48:00
TKT80199,SUB101877,Urgent: Very poor coverage inside my office building Kindly resolve.,SIM_Activation,reassigned,2026-08-04 12:16:00
TKT80200,SUB101147,My replacement SIM has not started working Kindly resolve.,SIM_Activation,standard,2026-08-03 11:28:00
TKT80201,SUB102753,Urgent: I am porting out unless you can offer something better This is the second time I am writing.,Retention,standard,2026-08-04 00:10:00
TKT80202,SUB102596,Urgent: What plans do you have with more data Kindly resolve.,Plan_Change,standard,2026-08-02 18:18:00
TKT80203,SUB103083,I inserted the new SIM but there is no service This is the second time I am writing.,SIM_Activation,standard,2026-08-03 06:27:00
TKT80204,SUB101868,"Hi, Cancel my postpaid connection immediately Thanks.",Retention,standard,2026-08-04 21:16:00
TKT80205,SUB100219,Please explain the extra amount on my invoice,Billing,standard,2026-08-02 15:13:00
TKT80206,SUB102837,"Hello team, The connection keeps disconnecting every few minutes Please respond quickly.",Network,standard,2026-08-04 01:46:00
TKT80207,SUB102546,"Dear support, Can I add an international pack to my plan Please respond quickly.",Plan_Change,standard,2026-08-01 17:18:00
TKT80208,SUB101457,"Dear support, Cancel my postpaid connection immediately Kindly resolve.",Retention,standard,2026-08-04 15:56:00
TKT80209,SUB101009,"Good morning, 4G is not working since yesterday morning Kindly resolve.",Network,standard,2026-08-03 03:56:00
TKT80210,SUB101907,Urgent: There is a charge on my bill I do not recognise Please respond quickly and the signal is also a problem,Billing,noisy,2026-08-02 06:19:00
TKT80211,SUB100829,"Good morning, I want to cancel because the signal in Hyderabad is terrible Kindly resolve.",Retention,ambiguous,2026-08-02 10:36:00
TKT80212,SUB101898,Please help. I was billed twice for the same recharge Thanks.,Plan_Change,reassigned,2026-08-01 17:03:00
TKT80213,SUB101155,"Good morning, The refund for my duplicate payment has not arrived My number is registered with you.",Billing,standard,2026-08-02 01:33:00
TKT80214,SUB101709,"Hi, Slow internet and my bill went up too Kindly resolve.",Billing,ambiguous,2026-08-03 11:20:00
TKT80215,SUB100070,Please help. Give me a reason to stay or I am switching Kindly resolve.,Retention,standard,2026-08-02 11:28:00
TKT80216,SUB100987,Please help. The connection keeps disconnecting every few minutes Thanks.,Network,standard,2026-08-05 12:01:00
TKT80217,SUB100214,Urgent: I want to change my plan before the next cycle Thanks and my SIM is also a problem,Plan_Change,noisy,2026-08-05 12:13:00
TKT80218,SUB100098,"Hello team, I am porting out unless you can offer something better Awaiting your reply.",Retention,standard,2026-08-02 19:29:00
TKT80219,SUB102080,Please help. I want to cancel because the signal in Mumbai is terrible,Retention,ambiguous,2026-08-02 07:50:00
TKT80220,SUB100028,"Hello team, 4G is not working since yesterday morning Thanks and activation is also a problem",Network,noisy,2026-08-01 01:17:00
TKT80221,SUB102085,"Good morning, Activation OTP is not arriving on my phone This is the second time I am writing.",SIM_Activation,standard,2026-08-02 21:21:00
TKT80222,SUB101369,"Dear support, Port-in request is still showing as pending Thanks.",SIM_Activation,standard,2026-08-01 20:23:00
TKT80223,SUB103141,4G is not working since yesterday morning My number is registered with you.,Network,standard,2026-08-04 12:11:00
TKT80224,SUB101474,"Dear support, There is a charge on my bill I do not recognise Awaiting your reply.",Billing,standard,2026-08-01 06:27:00
TKT80225,SUB102581,"Please close my account, I am moving to another operator",Billing,reassigned,2026-08-04 18:01:00
TKT80226,SUB100569,The refund for duplicate payment has not arrived My number is registered with you.,Billing,standard,2026-08-04 02:05:00
TKT80227,SUB100725,Urgent: Port-in request is still showing as pending,SIM_Activation,standard,2026-08-03 18:30:00
TKT80228,SUB102874,"Hello team, What plans do you have with more data My number is registered with you.",Plan_Change,standard,2026-08-01 08:08:00
