ticket_id,complaint_text,true_feeling,predicted_feeling,score
TKT50094,"I am so frustrated, my SIM activation failed twice",Negative,Negative,-2
TKT50095,No internet for three days in Salalah and no one helped me,Negative,Negative,-2
TKT50099,No internet for three days in Sur and no one helped me,Negative,Negative,-2
TKT50101,"The network is terrible in Sur, calls drop every day",Negative,Negative,-2
TKT50076,No internet for three days in Nizwa and no one helped me,Negative,Negative,-2
TKT50084,"I am so frustrated, my SIM activation failed twice",Negative,Negative,-2
TKT50088,"The network is terrible in Sohar, calls drop every day",Negative,Negative,-2
TKT50025,"The network is terrible in Sur, calls drop every day",Negative,Negative,-2
TKT50011,No internet for three days in Sur and no one helped me,Negative,Negative,-2
TKT50213,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50215,No internet for three days in Nizwa and no one helped me,Negative,Negative,-2
TKT50208,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50170,"The network is terrible in Sohar, calls drop every day",Negative,Negative,-2
TKT50177,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50212,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50226,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50200,No internet for three days in Sohar and no one helped me,Negative,Negative,-2
TKT50198,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50181,"I am so frustrated, my SIM activation failed twice",Negative,Negative,-2
TKT50188,"The network is terrible in Sohar, calls drop every day",Negative,Negative,-2
TKT50260,"The network is terrible in Muscat, calls drop every day",Negative,Negative,-2
TKT50224,"The network is terrible in Salalah, calls drop every day",Negative,Negative,-2
TKT50216,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50230,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50277,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50271,"The network is terrible in Muscat, calls drop every day",Negative,Negative,-2
TKT50289,"I have been overcharged again on my bill, this is unacceptable",Negative,Negative,-2
TKT50270,No internet for three days in Muscat and no one helped me,Negative,Negative,-2
TKT50281,No internet for three days in Sur and no one helped me,Negative,Negative,-2
TKT50296,"The network is terrible in Salalah, calls drop every day",Negative,Negative,-2
TKT50297,No internet for three days in Muscat and no one helped me,Negative,Negative,-2
